club,country,fb_url
Atlético de Madrid,Spain,https://www.facebook.com/AtleticodeMadrid
FC Barcelona,Spain,https://www.facebook.com/fcbarcelona
Real Madrid C.F.,Spain,https://www.facebook.com/RealMadrid
Athletic Club,Spain,https://www.facebook.com/ATHLETICCLUB
Valencia C.F,Spain,https://www.facebook.com/valenciacf.en
Sevilla FC,Spain,https://www.facebook.com/sevillafc.eng
Liverpool FC,England,https://www.facebook.com/LiverpoolFC
Chelsea Football Club,England,https://www.facebook.com/ChelseaFC
Manchester City,England,https://www.facebook.com/mancity
Tottenham Hotspur,England,https://www.facebook.com/TottenhamHotspur
Manchester United,England,https://www.facebook.com/manchesterunited
Arsenal,England,https://www.facebook.com/Arsenal
PSG - Paris Saint-Germain,France,https://www.facebook.com/PSG
Olympique de Marseille,France,https://www.facebook.com/OlympiqueMarseilleENG
Olympique Lyonnais - OL,France,https://www.facebook.com/olympiquelyonnais
AS Monaco,France,https://www.facebook.com/asmonaco
FC Bayern Munich,Germany,https://www.facebook.com/FCBayernUS
Borussia Dortmund,Germany,https://www.facebook.com/BVB
Borussia Mönchengladbach,Germany,https://www.facebook.com/borussia.global
FC Schalke 04,Germany,https://www.facebook.com/S04.us
RB Leipzig,Germany,https://www.facebook.com/rbleipzig
Bayer 04 Leverkusen,Germany,https://www.facebook.com/bayer04leverkusen
Juventus,Italy,https://www.facebook.com/Juventus
AC Milan,Italy,https://www.facebook.com/ACMilan
Inter,Italy,https://www.facebook.com/Inter
AS Roma,Italy,https://www.facebook.com/officialasroma
SSC Napoli,Italy,https://www.facebook.com/SSCNapoli
Atalanta Bergamasca Calcio,Italy,https://www.facebook.com/atalantabc